run_id,experiment,model_id,method,method_kind,retention,quant_bits,effective_compression_ratio,suite,task,context_length,repeat,mode,batch_size,status,warnings,primary_metric,primary_score,driver_peak_bytes,torch_peak_bytes,kv_cache_bytes,ttft_s,itl_mean_s,throughput_tokens_per_s,generated_tokens,total_joules,joules_per_generated_token,mean_watts,peak_watts,gpu,device_index,hardware_backend
perf-full_cache-r100-ruler-niah_single_1-16k-rep0-36138c8073,full_sweep,unsloth/Llama-3.1-8B-Instruct,full_cache,full_cache,1.0,,6.4e-05,ruler,niah_single_1,16384,0,performance,1,ok,,string_match,100.0,23927128064,22080498688,2059010048,2.9416771878008148,0.0466634370047094,14.432219743607714,640,11190.00320556859,17.48438000870092,251.46019544950678,298.833,NVIDIA RTX A6000,0,nvml
perf-full_cache-r100-ruler-niah_single_1-16k-rep2-35ef9bf781,full_sweep,unsloth/Llama-3.1-8B-Instruct,full_cache,full_cache,1.0,,6.4e-05,ruler,niah_single_1,16384,2,performance,1,ok,,string_match,100.0,24069734400,22080498688,2059010048,2.92171973559889,0.03812838728031703,16.484743036145414,640,10487.930572698015,16.387391519840648,268.91983543234187,301.371,NVIDIA RTX A6000,0,nvml
perf-full_cache-r100-ruler-niah_single_1-4k-rep1-15ddd01814,full_sweep,unsloth/Llama-3.1-8B-Instruct,full_cache,full_cache,1.0,,0.000269,ruler,niah_single_1,4096,1,performance,1,ok,,string_match,100.0,24189272064,17502191104,486539264,0.5919729676024872,0.04596405137636457,19.90558051259514,640,6758.539845616554,10.560218508775865,209.8913120218078,287.771,NVIDIA RTX A6000,0,nvml
perf-full_cache-r100-ruler-niah_single_1-4k-rep2-455ff9a365,full_sweep,unsloth/Llama-3.1-8B-Instruct,full_cache,full_cache,1.0,,0.000269,ruler,niah_single_1,4096,2,performance,1,ok,,string_match,100.0,21439905792,17502191104,486539264,0.5859487968002213,0.03647326182992946,24.5267280383221,640,5955.781916245869,9.30590924413417,228.18970646839634,276.2,NVIDIA RTX A6000,0,nvml
perf-full_cache-r100-ruler-niah_single_1-8k-rep0-18407170fc,full_sweep,unsloth/Llama-3.1-8B-Instruct,full_cache,full_cache,1.0,,0.000126,ruler,niah_single_1,8192,0,performance,1,ok,,string_match,100.0,24069734400,19104472064,1037041664,1.3014002758005518,0.03594701592125824,21.815203284603403,640,7435.15872546101,11.617435508532829,252.89565699210678,300.955,NVIDIA RTX A6000,0,nvml
perf-full_cache-r100-ruler-niah_single_1-8k-rep1-ea586d8a9a,full_sweep,unsloth/Llama-3.1-8B-Instruct,full_cache,full_cache,1.0,,0.000126,ruler,niah_single_1,8192,1,performance,1,ok,,string_match,100.0,23927128064,19104472064,1037041664,1.3075164759990003,0.036890166971658804,21.356699148292737,640,7609.222464251987,11.889410100393729,253.63978127408728,302.205,NVIDIA RTX A6000,0,nvml
perf-full_cache-r100-ruler-niah_single_1-8k-rep2-e3007a93ac,full_sweep,unsloth/Llama-3.1-8B-Instruct,full_cache,full_cache,1.0,,0.000126,ruler,niah_single_1,8192,2,performance,1,ok,,string_match,100.0,24189272064,19104472064,1037041664,1.3005497278005351,0.03601100881258346,21.78863023647184,640,7437.186090876812,11.620603266995019,252.96390549443768,301.871,NVIDIA RTX A6000,0,nvml
perf-kv_quant-2bit-ruler-niah_single_1-16k-rep0-81a6390533,full_sweep,unsloth/Llama-3.1-8B-Instruct,kv_quant,quantization,,2,6.4e-05,ruler,niah_single_1,16384,0,performance,1,ok,,string_match,80.0,21167276032,18605091840,257376256,2.9232295549998524,0.05176137088975359,13.475534745854882,640,12692.312017245742,19.831737526946473,266.08530772137595,298.986,NVIDIA RTX A6000,0,nvml
perf-kv_quant-2bit-ruler-niah_single_1-16k-rep1-ed859c69e4,full_sweep,unsloth/Llama-3.1-8B-Instruct,kv_quant,quantization,,2,6.4e-05,ruler,niah_single_1,16384,1,performance,1,ok,,string_match,80.0,21439905792,18605091840,257376256,2.990206508800475,0.05725356057952786,12.471514227471154,640,14079.381422266215,21.99903347229096,273.38555417588765,300.467,NVIDIA RTX A6000,0,nvml
perf-kv_quant-2bit-ruler-niah_single_1-4k-rep2-fca48ad2c5,full_sweep,unsloth/Llama-3.1-8B-Instruct,kv_quant,quantization,,2,0.000269,ruler,niah_single_1,4096,2,performance,1,ok,,string_match,100.0,23937613824,16681090560,60817408,0.5986473485994793,0.050296104935429374,18.317595377484945,640,7341.692202139355,11.471394065842741,209.76129667507604,278.611,NVIDIA RTX A6000,0,nvml
